ID_BCT_O,ID_ANPR,CALLE,ESQUINA / ENTRE CALLES,COLONIA,TRAMO,SECTOR_UPC,ALCALDÍA,C2,LATITUD,LONGITUD,CLASIFICACION,BOTON,ALTAVOZ,TIPO_POSTE,NUMCAMS,NUMBOT,NUMALT,CANT_ALTAVOZ,TIPO CAMARA,PROYECTO,FECHA_INSTALACIÓN,FASE2019,FASE_ORIGEN
MT95,0,CULTURA NORTE,AV EL ROSARIO Y AV DE LAS CULTURAS,EL ROSARIO,#N/A,HORMIGA,AZCAPOTZALCO,PONIENTE,19.505327,-99.200913,METRO SEGURO,CON BOTON,SIN ALTAVOZ,TOTEM,2,1,0,0,FIJA,TOTEMS,,,#N/A
MT207,0,STA APOLONIA,AV. F.F.C.C. NACIONALES Y MANUEL ACUÑA,SAN FRANCISCO TETECALA,#N/A,CLAVERIA,AZCAPOTZALCO,PONIENTE,19.478989,-99.189674,METRO SEGURO,CON BOTON,SIN ALTAVOZ,TOTEM,2,1,0,0,FIJA,TOTEMS,,,#N/A
MT210,0,AV. AQUILES SERDAN ,AV. INVIERNO,ANGEL ZIMBRON,#N/A,CLAVERIA,AZCAPOTZALCO,PONIENTE,19.469896,-99.189766,METRO SEGURO,CON BOTON,SIN ALTAVOZ,TOTEM,2,1,0,0,FIJA,TOTEMS,,,#N/A
MT238,0,AV. F.F.C.C. NACIONALES,AV. INVIERNO,ANGEL ZIMBRON,#N/A,CLAVERIA,AZCAPOTZALCO,PONIENTE,19.469718,-99.190388,METRO SEGURO,CON BOTON,SIN ALTAVOZ,TOTEM,2,1,0,0,FIJA,TOTEMS,,,#N/A
MT450,0,GOLFO DE BENGALA,GOLFO DE MÉXICO,TACUBA,#N/A,TACUBA,MIGUEL HIDALGO,PONIENTE,19.457838,-99.187439,METRO SEGURO,CON BOTON,SIN ALTAVOZ,TOTEM,2,1,0,0,FIJA,TOTEMS,,,#N/A
MT491,0,GOLFO DE BENGALA,GOLFO DE MÉXICO,TACUBA,#N/A,TACUBA,MIGUEL HIDALGO,PONIENTE,19.457855,-99.187141,METRO SEGURO,CON BOTON,SIN ALTAVOZ,TOTEM,2,1,0,0,FIJA,TOTEMS,,,#N/A
MT515,0,LAGO HIELMAR,LAGUNA DE TÉRMINOS,MODELO PENSIL,#N/A,TACUBA,MIGUEL HIDALGO,PONIENTE,19.444986,-99.1915958,METRO SEGURO,CON BOTON,SIN ALTAVOZ,TOTEM,2,1,0,0,FIJA,TOTEMS,,,#N/A
MT692,0,HORACIO,ENTRE ARQUIMEDES Y LA MARTINE,POLANCO V SECCION,#N/A,POLANCO-CASTILLO,MIGUEL HIDALGO,PONIENTE,19.43366793,-99.19016105,METRO SEGURO,CON BOTON,SIN ALTAVOZ,TOTEM,2,1,0,0,FIJA,TOTEMS,,,#N/A
MT693,0,CALZ. CHIVATITO,AV. PASEO DE LA REFORMA,BOSQUE DE CHAPULTEPEC I SECCION,#N/A,POLANCO-CASTILLO,MIGUEL HIDALGO,PONIENTE,19.424973,-99.191933,METRO SEGURO,CON BOTON,SIN ALTAVOZ,TOTEM,2,1,0,0,FIJA,TOTEMS,,,#N/A
MT730,0,PASEO DE LA REFORMA,AUDITORIO NACIONAL Y CALZADA CHIVATITO,BOSQUE DE CHAPULTEPEC I SECCION,#N/A,POLANCO-CASTILLO,MIGUEL HIDALGO,PONIENTE,19.425608,-99.1931,METRO SEGURO,CON BOTON,SIN ALTAVOZ,TOTEM,2,1,0,0,FIJA,TOTEMS,,,#N/A
MT740,0,AV. PARQUE LIRA,AV. CONSTITUYENTES,AMPLIACION DANIEL GARZA,#N/A,TACUBAYA,MIGUEL HIDALGO,PONIENTE,19.411615,-99.191609,METRO SEGURO,CON BOTON,SIN ALTAVOZ,TOTEM,2,1,0,0,FIJA,TOTEMS,,,#N/A
MT741,0,DOCTORA,ENTRE AV. JALISCO Y JOUBLANC,TACUBAYA,#N/A,TACUBAYA,MIGUEL HIDALGO,PONIENTE,19.402397,-99.186348,METRO SEGURO,CON BOTON,SIN ALTAVOZ,TOTEM,2,1,0,0,FIJA,TOTEMS,,,#N/A
MT892,0,AV. REVOLUCIÓN,ENTRE CALLE 7 Y CALLE 9,SAN PEDRO DE LOS PINOS,#N/A,NAPOLES,BENITO JUAREZ,SUR,19.391493,-99.185719,METRO SEGURO,CON BOTON,SIN ALTAVOZ,TOTEM,2,1,0,0,FIJA,TOTEMS,,,#N/A
MT1361,0,AV. REVOLUCIÓN,ENTRE CALLE 4 Y CALLE 2,SAN PEDRO DE LOS PINOS,#N/A,NAPOLES,BENITO JUAREZ,SUR,19.391604,-99.186099,METRO SEGURO,CON BOTON,SIN ALTAVOZ,TOTEM,2,1,0,0,FIJA,TOTEMS,,,#N/A
MT1680,0,AV. REVOLUCIÓN,TINTORETO,SANTA MARIA NONOALCO,#N/A,NAPOLES,BENITO JUAREZ,SUR,19.384286,-99.186399,METRO SEGURO,CON BOTON,SIN ALTAVOZ,TOTEM,2,1,0,0,FIJA,TOTEMS,,,#N/A
MT1740,0,AV. REVOLUCIÓN,AV. EXTREMADURA Y EMPRESAS,INSURGENTES MIXCOAC,#N/A,NAPOLES,BENITO JUAREZ,SUR,19.376168,-99.187486,METRO SEGURO,CON BOTON,SIN ALTAVOZ,TOTEM,2,1,0,0,FIJA,TOTEMS,,,#N/A
MT2076,0,REVOLUCIÓN,ENTRE CELLINI Y GIOTTO,MIXCOAC,#N/A,NAPOLES,BENITO JUAREZ,SUR,19.37559936,-99.18844717,METRO SEGURO,CON BOTON,SIN ALTAVOZ,TOTEM,2,1,0,0,FIJA,TOTEMS,,,#N/A
MT2441,0,REVOLUCIÓN,ENTRE CELLINI Y GIOTTO,MIXCOAC,#N/A,NAPOLES,BENITO JUAREZ,SUR,19.37563617,-99.18806904,METRO SEGURO,CON BOTON,SIN ALTAVOZ,TOTEM,2,1,0,0,FIJA,TOTEMS,,,#N/A
MT2468,0,AV. REVOLUCION,CONDOR ,LOS ALPES,#N/A,SAN ANGEL,ALVARO OBREGON,PONIENTE,19.36162,-99.189427,METRO SEGURO,CON BOTON,SIN ALTAVOZ,TOTEM,2,1,0,0,FIJA,TOTEMS,,,#N/A
MT2489,0,AV. REVOLUCIÓN,CONDOR,GUADALUPE INN,#N/A,SAN ANGEL,ALVARO OBREGON,PONIENTE,19.361527,-99.188917,METRO SEGURO,CON BOTON,SIN ALTAVOZ,TOTEM,2,1,0,0,FIJA,TOTEMS,,,#N/A
MT2590,0,DEGOLLADO,AV. PASEO DE LA REFORMA,GUERRERO,#N/A,BUENAVISTA,CUAUHTEMOC,CENTRO,19.444756,-99.139039,METRO SEGURO,CON BOTON,SIN ALTAVOZ,TOTEM,2,1,0,0,FIJA,TOTEMS,,,#N/A
MT2593,0,LOPEZ RAYON,AV. PASEO DE LA REFORMA,CENTRO (AREA 2),#N/A,CENTRO,CUAUHTEMOC,CENTRO,19.443736,-99.138645,METRO SEGURO,CON BOTON,SIN ALTAVOZ,TOTEM,2,1,0,0,FIJA,TOTEMS,,,#N/A
MT2594,0,ORGANO,AV. PASEO DE LA REFORMA,GUERRERO,#N/A,CENTRO,CUAUHTEMOC,CENTRO,19.443363,-99.139339,METRO SEGURO,CON BOTON,SIN ALTAVOZ,TOTEM,2,1,0,0,FIJA,TOTEMS,,,#N/A
MT2595,0,EJE CENTRAL LAZARO CARDENAS,ENTRE AV HIDALGO Y SANTA VERACRUZ,CENTRO (AREA 2),#N/A,ALAMEDA,CUAUHTEMOC,CENTRO,19.4366244,-99.1404186,METRO SEGURO,CON BOTON,SIN ALTAVOZ,TOTEM,2,1,0,0,FIJA,TOTEMS,,,#N/A
MT2596,0,EJE CENTRAL,ENTRE CALLE REPUBLICA DE CUBA Y DONCELES,CENTRO (AREA 2),#N/A,CENTRO,CUAUHTEMOC,CENTRO,19.437455,-99.140273,METRO SEGURO,CON BOTON,SIN ALTAVOZ,TOTEM,2,1,0,0,FIJA,TOTEMS,,,#N/A
MT2624,0,EJE CENTRAL,ENTRE PENSADOR MEXICANO Y SANTA VERACRUZ,GUERRERO,#N/A,BUENAVISTA,CUAUHTEMOC,CENTRO,19.4375,-99.140471,METRO SEGURO,CON BOTON,SIN ALTAVOZ,TOTEM,2,1,0,0,FIJA,TOTEMS,,,#N/A
MT2644,0,EJE CENTRAL,ENTRE SANTA VERACRUZ Y AV. HIDALGO,GUERRERO,#N/A,BUENAVISTA,CUAUHTEMOC,CENTRO,19.436552,-99.140637,METRO SEGURO,CON BOTON,SIN ALTAVOZ,TOTEM,2,1,0,0,FIJA,TOTEMS,,,#N/A
MT2647,0,EJE CENTRAL,ENTRE ARTICULO 123 Y VICTORIA,CENTRO (AREA 5),#N/A,ALAMEDA,CUAUHTEMOC,CENTRO,19.431692,-99.141406,METRO SEGURO,CON BOTON,SIN ALTAVOZ,TOTEM,2,1,0,0,FIJA,TOTEMS,,,#N/A
MT2648,0,EJE CENTRAL,REPUBLICA DE URUGUAY Y VENUSTIANO CARRANZA,CENTRO (AREA 1),#N/A,ALAMEDA,CUAUHTEMOC,CENTRO,19.431291,-99.141236,METRO SEGURO,CON BOTON,SIN ALTAVOZ,TOTEM,2,1,0,0,FIJA,TOTEMS,,,#N/A
MT2649,0,EJE CENTRAL,VENUSTIANO CARRANZA Y REPUBLICA DE URUGUAY,CENTRO (AREA 1),#N/A,ALAMEDA,CUAUHTEMOC,CENTRO,19.431734,-99.141173,METRO SEGURO,CON BOTON,SIN ALTAVOZ,TOTEM,2,1,0,0,FIJA,TOTEMS,,,#N/A
MT2650,0,EJE CENTRAL,LUCAS ALAMÁN,OBRERA,#N/A,ASTURIAS,CUAUHTEMOC,CENTRO,19.421438,-99.143027,METRO SEGURO,CON BOTON,SIN ALTAVOZ,TOTEM,2,1,0,0,FIJA,TOTEMS,,,#N/A
MT2651,0,EJE CENTRAL,DR. LICEAGA,DOCTORES,#N/A,ASTURIAS,CUAUHTEMOC,CENTRO,19.421631,-99.143366,METRO SEGURO,CON BOTON,SIN ALTAVOZ,TOTEM,2,1,0,0,FIJA,TOTEMS,,,#N/A
MT2652,0,EJE CENTRAL ,FERNANDO RAMÍREZ,OBRERA,#N/A,ASTURIAS,CUAUHTEMOC,CENTRO,19.413306,-99.143854,METRO SEGURO,CON BOTON,SIN ALTAVOZ,TOTEM,2,1,0,0,FIJA,TOTEMS,,,#N/A
MT2653,0,EJE CENTRAL,DR. ARCE,DOCTORES,#N/A,ASTURIAS,CUAUHTEMOC,CENTRO,19.413148,-99.14425,METRO SEGURO,CON BOTON,SIN ALTAVOZ,TOTEM,2,1,0,0,FIJA,TOTEMS,,,#N/A
MT2655,0,CALZADA DE LA VIGA,GUILLERMO PRIETO Y VIAD RIO DE LA PIEDAD,JAMAICA,#N/A,MERCED-BALBUENA,VENUSTIANO CARRANZA,NORTE,19.406401,-99.125946,METRO SEGURO,CON BOTON,SIN ALTAVOZ,TOTEM,2,1,0,0,FIJA,TOTEMS,,,#N/A
MT2722,0,PLAZA METRO CALZADA DE LA VIGA,ENTRE CALZADA DE LA VIGA Y VENTURA G. TENA,ASTURIAS,#N/A,ASTURIAS,CUAUHTEMOC,CENTRO,19.406306,-99.126419,METRO SEGURO,CON BOTON,SIN ALTAVOZ,TOTEM,2,1,0,0,FIJA,TOTEMS,,,#N/A
MT2826,0,SILVESTRE GUTIÉRREZ GUTIÉRREZ,COYUYA,SANTA ANITA,#N/A,IZTACCIHUATL,IZTACALCO,NORTE,19.403958,-99.120398,METRO SEGURO,CON BOTON,SIN ALTAVOZ,TOTEM,2,1,0,0,FIJA,TOTEMS,,,#N/A
MT2834,0,H. CONGRESO DE LA UNIÓN,COYUYA,SANTA ANITA,#N/A,IZTACCIHUATL,IZTACALCO,NORTE,19.404138,-99.121005,METRO SEGURO,CON BOTON,SIN ALTAVOZ,TOTEM,2,1,0,0,FIJA,TOTEMS,,,#N/A
MT2846,0,AV. AZÚCAR,AV. PDTE. PLUTARCO ELÍAS CALLES,LOS REYES,#N/A,IZTACCIHUATL,IZTACALCO,NORTE,19.398163,-99.113658,METRO SEGURO,CON BOTON,SIN ALTAVOZ,TOTEM,2,1,0,0,FIJA,TOTEMS,,,#N/A
MT2847,0,AV. AZÚCAR,AV. PDTE. PLUTARCO ELÍAS CALLES,GRANJAS MEXICO,#N/A,TLACOTAL,IZTACALCO,NORTE,19.398264,-99.113282,METRO SEGURO,CON BOTON,SIN ALTAVOZ,TOTEM,2,1,0,0,FIJA,TOTEMS,,,#N/A
MT2875,0,FRANCISCO DEL PASO Y TRONCOSO (ABAJO DEL PUENTE),AV. CANAL DE TEZONTLE,MAESTROS DE IZTACALCO,#N/A,TLACOTAL,IZTACALCO,NORTE,19.388222,-99.111856,METRO SEGURO,CON BOTON,SIN ALTAVOZ,TOTEM,2,1,0,0,FIJA,TOTEMS,,,#N/A
MT2883,0,FRANCISCO DEL PASO Y TRONCOSO (ABAJO DEL PUENTE),AV. CANAL DE TEZONTLE,LOS PICOS DE IZTACALCO SECCION 1RA,#N/A,IZTACCIHUATL,IZTACALCO,NORTE,19.38835,-99.1123,METRO SEGURO,CON BOTON,SIN ALTAVOZ,TOTEM,2,1,0,0,FIJA,TOTEMS,,,#N/A
MT2887,0,AV. CANAL DE TEZONTLE (ARRIBA DEL PUENTE),FRANCISCO DEL PASO Y TRONCOSO,I.N.F.O.N.A.V.I.T. IZTACALCO,#N/A,TLACOTAL,IZTACALCO,NORTE,19.388191,-99.111983,METRO SEGURO,CON BOTON,SIN ALTAVOZ,TOTEM,2,1,0,0,FIJA,TOTEMS,,,#N/A
MT2888,0,AV. CANAL DE TEZONTLE (ARRIBA DEL PUENTE),FRANCISCO DEL PASO Y TRONCOSO,LOS PICOS DE IZTACALCO SECCION 1RA,#N/A,TLACOTAL,IZTACALCO,NORTE,19.388383,-99.112026,METRO SEGURO,CON BOTON,SIN ALTAVOZ,TOTEM,2,1,0,0,FIJA,TOTEMS,,,#N/A
MT2889,0,FRANCISCO DEL PASO Y TRONCOSO (ABAJO DEL PUENTE),SANTA MARÍA LA PURÍSIMA,LA NUEVA ROSITA,#N/A,GRANJAS,IZTAPALAPA,ORIENTE,19.378862,-99.109185,METRO SEGURO,CON BOTON,SIN ALTAVOZ,TOTEM,2,1,0,0,FIJA,TOTEMS,,,#N/A
MT2979,0,FRANCISCO DEL PASO Y TRONCOSO (ABAJO DEL PUENTE),SANTA MARÍA LA PURÍSIMA,PURISIMA ATLAZOLPA,#N/A,CHURUBUSCO,IZTAPALAPA,ORIENTE,19.379345,-99.109836,METRO SEGURO,CON BOTON,SIN ALTAVOZ,TOTEM,2,1,0,0,FIJA,TOTEMS,,,#N/A
MT2999,0,SANTA MARÍA LA PURÍSIMA (ARRIBA DEL PUENTE),FRANCISCO DEL PASO Y TRONCOSO,PURISIMA ATLAZOLPA,#N/A,GRANJAS,IZTAPALAPA,ORIENTE,19.379207,-99.109631,METRO SEGURO,CON BOTON,SIN ALTAVOZ,TOTEM,2,1,0,0,FIJA,TOTEMS,,,#N/A
MT3012,0,TRABAJADORAS SOCIALES,FRANCISCO DEL PASO Y TRONCOSO,MAGDALENA ATLAZOLPA,#N/A,CHURUBUSCO,IZTAPALAPA,ORIENTE,19.373478,-99.107942,METRO SEGURO,CON BOTON,SIN ALTAVOZ,TOTEM,2,1,0,0,FIJA,TOTEMS,,,#N/A
MT3395,0,EJE 6 SUR TRABAJADORES SOCIALES (ARRIBA DEL PUENTE),GEOGRAFOS,ACULCO,#N/A,GRANJAS,IZTAPALAPA,ORIENTE,19.373377,-99.107601,METRO SEGURO,CON BOTON,SIN ALTAVOZ,TOTEM,2,1,0,0,FIJA,TOTEMS,,,#N/A
MT3652,0,AV. 5,CALLE 6,GRANJAS DE SAN ANTONIO,#N/A,GRANJAS,IZTAPALAPA,ORIENTE,19.364716,-99.109378,METRO SEGURO,CON BOTON,SIN ALTAVOZ,TOTEM,2,1,0,0,FIJA,TOTEMS,,,#N/A
MT3861,0,AV. AGUSTIN YALES,AV. 5,ESCUADRON 201,#N/A,CHURUBUSCO,IZTAPALAPA,ORIENTE,19.36482309,-99.10961608,METRO SEGURO,CON BOTON,SIN ALTAVOZ,TOTEM,2,1,0,0,FIJA,TOTEMS,,,#N/A
MT4024,0,ERMITA IZTAPALAPA,ENTRE GRAL. ANAYA Y LOS REYES,SANTA BARBARA,#N/A,GRANJAS,IZTAPALAPA,ORIENTE,19.356261,-99.101246,METRO SEGURO,CON BOTON,SIN ALTAVOZ,TOTEM,2,1,0,0,FIJA,TOTEMS,,,#N/A
MT4067,0,EJE 8 SUR ERMITA IZTAPALAPA,E. CORONA,SAN PABLO,#N/A,ESTRELLA,IZTAPALAPA,ORIENTE,19.3577788,-99.0933989,METRO SEGURO,CON BOTON,SIN ALTAVOZ,TOTEM,2,1,0,0,FIJA,TOTEMS,,,#N/A
MT4343,0,CALZ. IGNACIO ZARAGOZA,CALLE UNO,BELISARIO DOMINGUEZ INFONAVIT,#N/A,PANTITLAN,IZTACALCO,NORTE,19.405004,-99.06954,METRO SEGURO,CON BOTON,SIN ALTAVOZ,TOTEM,2,1,0,0,FIJA,TOTEMS,,,#N/A
MT4344,0,GRAL. SALVADOR ALVARADO,AV. BENJAMIN FRANKLIN,ESCANDON I SECCION,#N/A,TACUBAYA,MIGUEL HIDALGO,PONIENTE,19.405836,-99.179047,METRO SEGURO,CON BOTON,SIN ALTAVOZ,TOTEM,2,1,0,0,FIJA,TOTEMS,,,#N/A
MT4346,0,AV. JALISCO,AV. JALISCO,TACUBAYA,#N/A,TACUBAYA,MIGUEL HIDALGO,PONIENTE,19.401924,-99.18766,METRO SEGURO,CON BOTON,SIN ALTAVOZ,TOTEM,2,1,0,0,FIJA,TOTEMS,,,#N/A
MT4360,0,TORDO,AV. JALISCO,TACUBAYA,#N/A,TACUBAYA,MIGUEL HIDALGO,PONIENTE,19.400515,-99.188545,METRO SEGURO,CON BOTON,SIN ALTAVOZ,TOTEM,2,1,0,0,FIJA,TOTEMS,,,#N/A
MT5251,0,PARADERO METRO PANTITLAN,ENTRE AV. RÍO CHIRUBUSCO Y EJE 1 NTE (MANUEL LEBRIJA),ADOLFO LOPEZ MATEOS,#N/A,ARENAL,VENUSTIANO CARRANZA,NORTE,19.415916,-99.074059,METRO SEGURO,CON BOTON,SIN ALTAVOZ,TOTEM,2,1,0,0,FIJA,TOTEMS,,,#N/A
MT5253,0,PARADERO METRO PANTITLAN,ENTRE AV. RÍO CHIRUBUSCO Y EJE 1 NTE (MANUEL LEBRIJA),ADOLFO LOPEZ MATEOS,#N/A,ARENAL,VENUSTIANO CARRANZA,NORTE,19.415586,-99.073654,METRO SEGURO,CON BOTON,SIN ALTAVOZ,TOTEM,2,1,0,0,FIJA,TOTEMS,,,#N/A
MT5254,0,PARADERO METRO PANTITLAN ,"PARADERO METRO PANTITLAN, ENTRE AV. RÍO CHIRUBUSCO Y EJE 1 NTE (MANUEL LEBRIJA)",ADOLFO LOPEZ MATEOS,#N/A,ARENAL,VENUSTIANO CARRANZA,NORTE,19.41630816,-99.07343646,METRO SEGURO,CON BOTON,SIN ALTAVOZ,TOTEM,2,1,0,0,FIJA,TOTEMS,,,#N/A
MT5255,0,PARADERO METRO PANTITLAN,ENTRE GUSTAVO DIAZ ORDAZ Y ADOLFO LOPEZ MATEOS,ADOLFO LOPEZ MATEOS,#N/A,ARENAL,VENUSTIANO CARRANZA,NORTE,19.41729989,-99.07330603,METRO SEGURO,CON BOTON,SIN ALTAVOZ,TOTEM,2,1,0,0,FIJA,TOTEMS,,,#N/A
MT5285,0,PARADERO METRO PANTITLAN,ENTRE GUSTAVO DIAZ ORDAZ Y ADOLFO LOPEZ MATEOS,ADOLFO LOPEZ MATEOS,#N/A,ARENAL,VENUSTIANO CARRANZA,NORTE,19.417343,-99.073875,METRO SEGURO,CON BOTON,SIN ALTAVOZ,TOTEM,2,1,0,0,FIJA,TOTEMS,,,#N/A
MT5288,0,VIADUCTO RÍO DE LA PIEDAD,ENTRE CALLE 73 Y CALLE 75,PUEBLA,#N/A,ARENAL,VENUSTIANO CARRANZA,NORTE,19.40748294,-99.08256354,METRO SEGURO,CON BOTON,SIN ALTAVOZ,TOTEM,2,1,0,0,FIJA,TOTEMS,,,#N/A
MT5334,0,FRANCISCO DEL PASO Y TRONCOSO,AV. MORELOS,PUEBLO DE LA MAGDALENA MIXIUHCA,#N/A,MERCED-BALBUENA,VENUSTIANO CARRANZA,NORTE,19.40826162,-99.11355611,METRO SEGURO,CON BOTON,SIN ALTAVOZ,TOTEM,2,1,0,0,FIJA,TOTEMS,,,#N/A
MT5346,0,AV MORELOS,CASI ESQ. CONGRESO DE LA UNION,JAMAICA,#N/A,MERCED-BALBUENA,VENUSTIANO CARRANZA,NORTE,19.40894975,-99.12223039,METRO SEGURO,CON BOTON,SIN ALTAVOZ,TOTEM,2,1,0,0,FIJA,TOTEMS,,,#N/A
MT5384,0,AV. MORELOS,ENTRE COMPAS Y CINCEL,SEVILLA,#N/A,MERCED-BALBUENA,VENUSTIANO CARRANZA,NORTE,19.409346,-99.12262,METRO SEGURO,CON BOTON,SIN ALTAVOZ,TOTEM,2,1,0,0,FIJA,TOTEMS,,,#N/A
MT5385,0,JOSÉ ANTONIO TORRES,CALZ. CHABACANO,VISTA ALEGRE,#N/A,ASTURIAS,CUAUHTEMOC,CENTRO,19.408633,-99.133473,METRO SEGURO,CON BOTON,SIN ALTAVOZ,TOTEM,2,1,0,0,FIJA,TOTEMS,,,#N/A
MT5386,0,JOSÉ PEON CONTRERAS,ENTRE JOSÉ ANTONIO TORRES Y FRANCISCO AYALA,AMPLIACION ASTURIAS,#N/A,ASTURIAS,CUAUHTEMOC,CENTRO,19.408315,-99.134083,METRO SEGURO,CON BOTON,SIN ALTAVOZ,TOTEM,2,1,0,0,FIJA,TOTEMS,,,#N/A
